APP: 2025/05/18 17:14:44 L: 5     DEALS: 959   BALANCE: 3960.92    PROFIT: -0.60 
APP: 2025/05/18 17:15:00 L: 10    DEALS: 597   BALANCE: 6033.76    PROFIT: -0.40 
APP: 2025/05/18 17:15:17 L: 15    DEALS: 489   BALANCE: 7990.40    PROFIT: -0.20 
APP: 2025/05/18 17:15:33 L: 20    DEALS: 395   BALANCE: 9248.93    PROFIT: -0.08 
APP: 2025/05/18 17:15:49 L: 25    DEALS: 351   BALANCE: 9876.04    PROFIT: -0.01 
APP: 2025/05/18 17:16:06 L: 30    DEALS: 300   BALANCE: 10546.74   PROFIT: 0.05  
APP: 2025/05/18 17:16:22 L: 35    DEALS: 265   BALANCE: 11107.02   PROFIT: 0.11  
APP: 2025/05/18 17:16:39 L: 40    DEALS: 214   BALANCE: 11797.60   PROFIT: 0.18  
APP: 2025/05/18 17:16:56 L: 45    DEALS: 187   BALANCE: 12451.17   PROFIT: 0.25  
APP: 2025/05/18 17:17:12 L: 50    DEALS: 182   BALANCE: 10082.16   PROFIT: 0.01  
APP: 2025/05/18 17:17:29 L: 55    DEALS: 186   BALANCE: 9874.85    PROFIT: -0.01 
APP: 2025/05/18 17:17:45 L: 60    DEALS: 181   BALANCE: 9996.65    PROFIT: -0.00 
APP: 2025/05/18 17:18:01 L: 65    DEALS: 187   BALANCE: 9360.28    PROFIT: -0.06 
APP: 2025/05/18 17:18:18 L: 70    DEALS: 170   BALANCE: 9349.87    PROFIT: -0.07 
APP: 2025/05/18 17:18:34 L: 75    DEALS: 160   BALANCE: 9405.50    PROFIT: -0.06 
APP: 2025/05/18 17:18:50 L: 80    DEALS: 154   BALANCE: 9316.64    PROFIT: -0.07 
APP: 2025/05/18 17:19:06 L: 85    DEALS: 151   BALANCE: 9460.97    PROFIT: -0.05 
APP: 2025/05/18 17:19:22 L: 90    DEALS: 140   BALANCE: 9521.15    PROFIT: -0.05 
APP: 2025/05/18 17:19:40 L: 95    DEALS: 129   BALANCE: 9575.98    PROFIT: -0.04 
APP: 2025/05/18 17:19:56 L: 100   DEALS: 133   BALANCE: 9299.77    PROFIT: -0.07 
APP: 2025/05/18 17:20:11 L: 105   DEALS: 128   BALANCE: 9327.49    PROFIT: -0.07 
APP: 2025/05/18 17:20:26 L: 110   DEALS: 140   BALANCE: 9008.26    PROFIT: -0.10 
APP: 2025/05/18 17:20:42 L: 115   DEALS: 140   BALANCE: 9069.42    PROFIT: -0.09 
APP: 2025/05/18 17:20:58 L: 120   DEALS: 124   BALANCE: 9175.77    PROFIT: -0.08 
APP: 2025/05/18 17:21:13 L: 125   DEALS: 114   BALANCE: 9412.80    PROFIT: -0.06 
APP: 2025/05/18 17:21:29 L: 130   DEALS: 106   BALANCE: 9588.36    PROFIT: -0.04 
APP: 2025/05/18 17:21:45 L: 135   DEALS: 116   BALANCE: 9104.78    PROFIT: -0.09 
APP: 2025/05/18 17:22:03 L: 140   DEALS: 108   BALANCE: 8966.59    PROFIT: -0.10 
APP: 2025/05/18 17:22:19 L: 145   DEALS: 116   BALANCE: 8803.15    PROFIT: -0.12 
APP: 2025/05/18 17:22:36 L: 150   DEALS: 105   BALANCE: 9099.91    PROFIT: -0.09 
APP: 2025/05/18 17:22:52 L: 155   DEALS: 114   BALANCE: 8824.00    PROFIT: -0.12 
APP: 2025/05/18 17:23:09 L: 160   DEALS: 100   BALANCE: 9040.23    PROFIT: -0.10 
APP: 2025/05/18 17:23:26 L: 165   DEALS: 81    BALANCE: 9355.34    PROFIT: -0.06 
APP: 2025/05/18 17:23:42 L: 170   DEALS: 93    BALANCE: 9225.14    PROFIT: -0.08 
APP: 2025/05/18 17:23:58 L: 175   DEALS: 87    BALANCE: 9360.11    PROFIT: -0.06 
APP: 2025/05/18 17:24:13 L: 180   DEALS: 91    BALANCE: 9208.34    PROFIT: -0.08 
APP: 2025/05/18 17:24:29 L: 185   DEALS: 87    BALANCE: 9253.53    PROFIT: -0.07 
APP: 2025/05/18 17:24:45 L: 190   DEALS: 93    BALANCE: 9036.96    PROFIT: -0.10 
APP: 2025/05/18 17:25:02 L: 195   DEALS: 90    BALANCE: 9235.44    PROFIT: -0.08 
APP: 2025/05/18 17:25:18 L: 200   DEALS: 84    BALANCE: 9335.81    PROFIT: -0.07 
